Dagsetning;Evra EUR miðgengi (Meðaltal mánaðar);Evra EUR kaupgengi (Meðaltal mánaðar);Evra EUR sölugengi (Meðaltal mánaðar);Bandaríkjadalur USD miðgengi (Meðaltal mánaðar);Bandaríkjadalur USD kaupgengi (Meðaltal mánaðar);Bandaríkjadalur USD sölugengi (Meðaltal mánaðar);Sterlingspund GBP miðgengi (Meðaltal mánaðar);Sterlingspund GBP kaupgengi (Meðaltal mánaðar);Sterlingspund GBP sölugengi (Meðaltal mánaðar);Norsk króna NOK miðgengi (Meðaltal mánaðar);Norsk króna NOK kaupgengi (Meðaltal mánaðar);Norsk króna NOK sölugengi (Meðaltal mánaðar);Sænsk króna SEK miðgengi (Meðaltal mánaðar);Sænsk króna SEK kaupgengi (Meðaltal mánaðar);Sænsk króna SEK sölugengi (Meðaltal mánaðar);
Ágúst 2018;124,26;123,91;124,61;107,63;107,37;107,89;138,53;138,19;138,87;12,913;12,875;12,951;11,866;11,831;11,900;
Júlí 2018;124,38;124,03;124,73;106,48;106,23;106,73;140,23;139,89;140,57;13,096;13,058;13,135;12,069;12,034;12,104;
Júní 2018;124,79;124,44;125,14;106,85;106,60;107,11;141,97;141,62;142,31;13,167;13,129;13,206;12,139;12,103;12,175;
Maí 2018;122,82;122,48;123,16;103,98;103,73;104,22;139,98;139,64;140,32;12,832;12,794;12,870;11,868;11,833;11,903;
Apríl 2018;122,20;121,86;122,54;99,59;99,35;99,82;140,09;139,75;140,43;12,698;12,660;12,735;11,780;11,746;11,814;
Mars 2018;122,90;122,56;123,24;99,63;99,39;99,87;139,11;138,77;139,45;12,828;12,790;12,865;12,103;12,067;12,138;
Febrúar 2018;124,68;124,33;125,03;100,89;100,65;101,13;141,10;140,76;141,44;12,880;12,842;12,918;12,547;12,510;12,584;
Janúar 2018;125,41;125,06;125,76;102,80;102,56;103,05;141,95;141,60;142,29;12,995;12,957;13,033;12,771;12,734;12,808;
Desember 2017;124,02;123,67;124,36;104,79;104,54;105,04;140,48;140,14;140,82;12,602;12,565;12,639;12,482;12,446;12,519;
Nóvember 2017;122,37;122,03;122,71;104,27;104,02;104,52;137,85;137,52;138,19;12,743;12,706;12,780;12,433;12,396;12,469;
Október 2017;124,07;123,72;124,42;105,52;105,27;105,77;139,31;138,97;139,64;13,203;13,164;13,241;12,911;12,873;12,949;
September 2017;126,70;126,35;127,06;106,29;106,04;106,55;141,48;141,14;141,82;13,572;13,533;13,612;13,289;13,250;13,328;
Ágúst 2017;125,22;124,87;125,57;106,06;105,81;106,31;137,45;137,12;137,78;13,439;13,399;13,478;13,117;13,078;13,155;
Júlí 2017;120,36;120,02;120,69;104,59;104,34;104,83;135,84;135,51;136,17;12,801;12,764;12,839;12,551;12,514;12,588;
Júní 2017;113,84;113,52;114,15;101,41;101,17;101,65;129,67;129,36;129,98;11,981;11,946;12,017;11,671;11,636;11,705;
