Dagsetning;Vextir á daglánum;Vextir á viðskiptareikningum;Meginvextir
12.06.2024;11,00;9,00;9,25
13.06.2024;11,00;9,00;9,25
14.06.2024;11,00;9,00;9,25
18.06.2024;11,00;9,00;9,25
19.06.2024;11,00;9,00;9,25
20.06.2024;11,00;9,00;9,25
21.06.2024;11,00;9,00;9,25
24.06.2024;11,00;9,00;9,25
25.06.2024;11,00;9,00;9,25
26.06.2024;11,00;9,00;9,25
27.06.2024;11,00;9,00;9,25
28.06.2024;11,00;9,00;9,25
01.07.2024;11,00;9,00;9,25
02.07.2024;11,00;9,00;9,25
03.07.2024;11,00;9,00;9,25
04.07.2024;11,00;9,00;9,25
05.07.2024;11,00;9,00;9,25
08.07.2024;11,00;9,00;9,25
09.07.2024;11,00;9,00;9,25
10.07.2024;11,00;9,00;9,25
11.07.2024;11,00;9,00;9,25
12.07.2024;11,00;9,00;9,25
15.07.2024;11,00;9,00;9,25
16.07.2024;11,00;9,00;9,25
17.07.2024;11,00;9,00;9,25
18.07.2024;11,00;9,00;9,25
19.07.2024;11,00;9,00;9,25
22.07.2024;11,00;9,00;9,25
23.07.2024;11,00;9,00;9,25
24.07.2024;11,00;9,00;9,25
25.07.2024;11,00;9,00;9,25
26.07.2024;11,00;9,00;9,25
29.07.2024;11,00;9,00;9,25
30.07.2024;11,00;9,00;9,25
31.07.2024;11,00;9,00;9,25
01.08.2024;11,00;9,00;9,25
02.08.2024;11,00;9,00;9,25
06.08.2024;11,00;9,00;9,25
07.08.2024;11,00;9,00;9,25
08.08.2024;11,00;9,00;9,25
09.08.2024;11,00;9,00;9,25
12.08.2024;11,00;9,00;9,25
13.08.2024;11,00;9,00;9,25
14.08.2024;11,00;9,00;9,25
15.08.2024;11,00;9,00;9,25
16.08.2024;11,00;9,00;9,25
19.08.2024;11,00;9,00;9,25
20.08.2024;11,00;9,00;9,25
21.08.2024;11,00;9,00;9,25
22.08.2024;11,00;9,00;9,25
23.08.2024;11,00;9,00;9,25
26.08.2024;11,00;9,00;9,25
27.08.2024;11,00;9,00;9,25
28.08.2024;11,00;9,00;9,25
29.08.2024;11,00;9,00;9,25
30.08.2024;11,00;9,00;9,25
02.09.2024;11,00;9,00;9,25
03.09.2024;11,00;9,00;9,25
04.09.2024;11,00;9,00;9,25
05.09.2024;11,00;9,00;9,25
06.09.2024;11,00;9,00;9,25
09.09.2024;11,00;9,00;9,25
10.09.2024;11,00;9,00;9,25
11.09.2024;11,00;9,00;9,25
12.09.2024;11,00;9,00;9,25
13.09.2024;11,00;9,00;9,25
16.09.2024;11,00;9,00;9,25
17.09.2024;11,00;9,00;9,25
18.09.2024;11,00;9,00;9,25
19.09.2024;11,00;9,00;9,25
20.09.2024;11,00;9,00;9,25
23.09.2024;11,00;9,00;9,25
24.09.2024;11,00;9,00;9,25
25.09.2024;11,00;9,00;9,25
26.09.2024;11,00;9,00;9,25
27.09.2024;11,00;9,00;9,25
30.09.2024;11,00;9,00;9,25
01.10.2024;11,00;9,00;9,25
02.10.2024;10,75;8,75;9,00
03.10.2024;10,75;8,75;9,00
04.10.2024;10,75;8,75;9,00
07.10.2024;10,75;8,75;9,00
08.10.2024;10,75;8,75;9,00
09.10.2024;10,75;8,75;9,00
10.10.2024;10,75;8,75;9,00
11.10.2024;10,75;8,75;9,00
14.10.2024;10,75;8,75;9,00
15.10.2024;10,75;8,75;9,00
16.10.2024;10,75;8,75;9,00
17.10.2024;10,75;8,75;9,00
18.10.2024;10,75;8,75;9,00
21.10.2024;10,75;8,75;9,00
22.10.2024;10,75;8,75;9,00
23.10.2024;10,75;8,75;9,00
24.10.2024;10,75;8,75;9,00
25.10.2024;10,75;8,75;9,00
28.10.2024;10,75;8,75;9,00
29.10.2024;10,75;8,75;9,00
30.10.2024;10,75;8,75;9,00
31.10.2024;10,75;8,75;9,00
01.11.2024;10,75;8,75;9,00
04.11.2024;10,75;8,75;9,00
05.11.2024;10,75;8,75;9,00
06.11.2024;10,75;8,75;9,00
07.11.2024;10,75;8,75;9,00
08.11.2024;10,75;8,75;9,00
11.11.2024;10,75;8,75;9,00
12.11.2024;10,75;8,75;9,00
13.11.2024;10,75;8,75;9,00
14.11.2024;10,75;8,75;9,00
15.11.2024;10,75;8,75;9,00
18.11.2024;10,75;8,75;9,00
19.11.2024;10,75;8,75;9,00
20.11.2024;10,25;8,25;8,50
21.11.2024;10,25;8,25;8,50
22.11.2024;10,25;8,25;8,50
25.11.2024;10,25;8,25;8,50
26.11.2024;10,25;8,25;8,50
27.11.2024;10,25;8,25;8,50
28.11.2024;10,25;8,25;8,50
29.11.2024;10,25;8,25;8,50
02.12.2024;10,25;8,25;8,50
03.12.2024;10,25;8,25;8,50
04.12.2024;10,25;8,25;8,50
05.12.2024;10,25;8,25;8,50
06.12.2024;10,25;8,25;8,50
09.12.2024;10,25;8,25;8,50
10.12.2024;10,25;8,25;8,50
11.12.2024;10,25;8,25;8,50
12.12.2024;10,25;8,25;8,50
13.12.2024;10,25;8,25;8,50
16.12.2024;10,25;8,25;8,50
17.12.2024;10,25;8,25;8,50
18.12.2024;10,25;8,25;8,50
19.12.2024;10,25;8,25;8,50
20.12.2024;10,25;8,25;8,50
23.12.2024;10,25;8,25;8,50
27.12.2024;10,25;8,25;8,50
30.12.2024;10,25;8,25;8,50
31.12.2024;10,25;8,25;8,50
02.01.2025;10,25;8,25;8,50
03.01.2025;10,25;8,25;8,50
06.01.2025;10,25;8,25;8,50
07.01.2025;10,25;8,25;8,50
08.01.2025;10,25;8,25;8,50
09.01.2025;10,25;8,25;8,50
10.01.2025;10,25;8,25;8,50
13.01.2025;10,25;8,25;8,50
14.01.2025;10,25;8,25;8,50
15.01.2025;10,25;8,25;8,50
16.01.2025;10,25;8,25;8,50
17.01.2025;10,25;8,25;8,50
20.01.2025;10,25;8,25;8,50
21.01.2025;10,25;8,25;8,50
22.01.2025;10,25;8,25;8,50
23.01.2025;10,25;8,25;8,50
24.01.2025;10,25;8,25;8,50
27.01.2025;10,25;8,25;8,50
28.01.2025;10,25;8,25;8,50
29.01.2025;10,25;8,25;8,50
30.01.2025;10,25;8,25;8,50
31.01.2025;10,25;8,25;8,50
03.02.2025;10,25;8,25;8,50
04.02.2025;10,25;8,25;8,50
05.02.2025;9,75;7,75;8,00
06.02.2025;9,75;7,75;8,00
07.02.2025;9,75;7,75;8,00
10.02.2025;9,75;7,75;8,00
11.02.2025;9,75;7,75;8,00
12.02.2025;9,75;7,75;8,00
13.02.2025;9,75;7,75;8,00
14.02.2025;9,75;7,75;8,00
17.02.2025;9,75;7,75;8,00
18.02.2025;9,75;7,75;8,00
19.02.2025;9,75;7,75;8,00
20.02.2025;9,75;7,75;8,00
21.02.2025;9,75;7,75;8,00
24.02.2025;9,75;7,75;8,00
25.02.2025;9,75;7,75;8,00
26.02.2025;9,75;7,75;8,00
27.02.2025;9,75;7,75;8,00
28.02.2025;9,75;7,75;8,00
03.03.2025;9,75;7,75;8,00
04.03.2025;9,75;7,75;8,00
05.03.2025;9,75;7,75;8,00
06.03.2025;9,75;7,75;8,00
07.03.2025;9,75;7,75;8,00
10.03.2025;9,75;7,75;8,00
11.03.2025;9,75;7,75;8,00
12.03.2025;9,75;7,75;8,00
13.03.2025;9,75;7,75;8,00
14.03.2025;9,75;7,75;8,00
17.03.2025;9,75;7,75;8,00
18.03.2025;9,75;7,75;8,00
19.03.2025;9,50;7,50;7,75
20.03.2025;9,50;7,50;7,75
21.03.2025;9,50;7,50;7,75
24.03.2025;9,50;7,50;7,75
25.03.2025;9,50;7,50;7,75
26.03.2025;9,50;7,50;7,75
27.03.2025;9,50;7,50;7,75
28.03.2025;9,50;7,50;7,75
31.03.2025;9,50;7,50;7,75
01.04.2025;9,50;7,50;7,75
02.04.2025;9,50;7,50;7,75
03.04.2025;9,50;7,50;7,75
04.04.2025;9,50;7,50;7,75
07.04.2025;9,50;7,50;7,75
08.04.2025;9,50;7,50;7,75
09.04.2025;9,50;7,50;7,75
10.04.2025;9,50;7,50;7,75
11.04.2025;9,50;7,50;7,75
14.04.2025;9,50;7,50;7,75
15.04.2025;9,50;7,50;7,75
16.04.2025;9,50;7,50;7,75
22.04.2025;9,50;7,50;7,75
23.04.2025;9,50;7,50;7,75
25.04.2025;9,50;7,50;7,75
28.04.2025;9,50;7,50;7,75
29.04.2025;9,50;7,50;7,75
30.04.2025;9,50;7,50;7,75
02.05.2025;9,50;7,50;7,75
05.05.2025;9,50;7,50;7,75
06.05.2025;9,50;7,50;7,75
07.05.2025;9,50;7,50;7,75
08.05.2025;9,50;7,50;7,75
09.05.2025;9,50;7,50;7,75
12.05.2025;9,50;7,50;7,75
13.05.2025;9,50;7,50;7,75
14.05.2025;9,50;7,50;7,75
15.05.2025;9,50;7,50;7,75
16.05.2025;9,50;7,50;7,75
19.05.2025;9,50;7,50;7,75
20.05.2025;9,50;7,50;7,75
21.05.2025;9,25;7,25;7,50
22.05.2025;9,25;7,25;7,50
23.05.2025;9,25;7,25;7,50
26.05.2025;9,25;7,25;7,50
27.05.2025;9,25;7,25;7,50
28.05.2025;9,25;7,25;7,50
30.05.2025;9,25;7,25;7,50
02.06.2025;9,25;7,25;7,50
03.06.2025;9,25;7,25;7,50
04.06.2025;9,25;7,25;7,50
05.06.2025;9,25;7,25;7,50
06.06.2025;9,25;7,25;7,50
10.06.2025;9,25;7,25;7,50
11.06.2025;9,25;7,25;7,50
12.06.2025;9,25;7,25;7,50
13.06.2025;9,25;7,25;7,50
16.06.2025;9,25;7,25;7,50
18.06.2025;9,25;7,25;7,50
19.06.2025;9,25;7,25;7,50
20.06.2025;9,25;7,25;7,50
23.06.2025;9,25;7,25;7,50
24.06.2025;9,25;7,25;7,50
25.06.2025;9,25;7,25;7,50
26.06.2025;9,25;7,25;7,50
27.06.2025;9,25;7,25;7,50
30.06.2025;9,25;7,25;7,50
01.07.2025;9,25;7,25;7,50
02.07.2025;9,25;7,25;7,50
03.07.2025;9,25;7,25;7,50
04.07.2025;9,25;7,25;7,50
07.07.2025;9,25;7,25;7,50
08.07.2025;9,25;7,25;7,50
09.07.2025;9,25;7,25;7,50
10.07.2025;9,25;7,25;7,50
11.07.2025;9,25;7,25;7,50
14.07.2025;9,25;7,25;7,50
15.07.2025;9,25;7,25;7,50
16.07.2025;9,25;7,25;7,50
17.07.2025;9,25;7,25;7,50
18.07.2025;9,25;7,25;7,50
21.07.2025;9,25;7,25;7,50
22.07.2025;9,25;7,25;7,50
23.07.2025;9,25;7,25;7,50
24.07.2025;9,25;7,25;7,50
25.07.2025;9,25;7,25;7,50
28.07.2025;9,25;7,25;7,50
29.07.2025;9,25;7,25;7,50
30.07.2025;9,25;7,25;7,50
31.07.2025;9,25;7,25;7,50
01.08.2025;9,25;7,25;7,50
05.08.2025;9,25;7,25;7,50
06.08.2025;9,25;7,25;7,50
07.08.2025;9,25;7,25;7,50
08.08.2025;9,25;7,25;7,50
11.08.2025;9,25;7,25;7,50
12.08.2025;9,25;7,25;7,50
13.08.2025;9,25;7,25;7,50
14.08.2025;9,25;7,25;7,50
15.08.2025;9,25;7,25;7,50
18.08.2025;9,25;7,25;7,50
